"colnamei","colnamen","jacdist"
"RANDOM_K4","RANDOM_K4","1"
"RANDOM_K4","RANDOM_2_K4","0.159248269040554"
"RANDOM_K4","PH_RANGE_PH7_DEPTH_MIX_K4","0.154106689246401"
"RANDOM_K4","NMF_LOG_OTU_K4","0.126373626373626"
"RANDOM_K4","DIANA_CUTREE_K4","0.184897671136203"
"RANDOM_K4","PH_RANGE_K4","0.201415701415701"
"RANDOM_K4","MCQUITTY_CUTREE_K4","0.137026239067055"
"RANDOM_K4","KMEANS_PCA_ENV_K4","0.158951965065502"
"RANDOM_K4","KMEANS_DIST_K4","0.132530120481928"
"RANDOM_2_K4","RANDOM_2_K4","1"
"RANDOM_2_K4","PH_RANGE_PH7_DEPTH_MIX_K4","0.168341708542714"
"RANDOM_2_K4","NMF_LOG_OTU_K4","0.120890774125133"
"RANDOM_2_K4","DIANA_CUTREE_K4","0.200701754385965"
"RANDOM_2_K4","PH_RANGE_K4","0.214971209213052"
"RANDOM_2_K4","MCQUITTY_CUTREE_K4","0.150239234449761"
"RANDOM_2_K4","KMEANS_PCA_ENV_K4","0.163527397260274"
"RANDOM_2_K4","KMEANS_DIST_K4","0.139489194499018"
"PH_RANGE_PH7_DEPTH_MIX_K4","PH_RANGE_PH7_DEPTH_MIX_K4","1"
"PH_RANGE_PH7_DEPTH_MIX_K4","NMF_LOG_OTU_K4","0.234421364985163"
"PH_RANGE_PH7_DEPTH_MIX_K4","DIANA_CUTREE_K4","0.250493096646943"
"PH_RANGE_PH7_DEPTH_MIX_K4","PH_RANGE_K4","0.611410948342328"
"PH_RANGE_PH7_DEPTH_MIX_K4","MCQUITTY_CUTREE_K4","0.304307116104869"
"PH_RANGE_PH7_DEPTH_MIX_K4","KMEANS_PCA_ENV_K4","0.386404293381038"
"PH_RANGE_PH7_DEPTH_MIX_K4","KMEANS_DIST_K4","0.310378273520854"
"NMF_LOG_OTU_K4","NMF_LOG_OTU_K4","1"
"NMF_LOG_OTU_K4","DIANA_CUTREE_K4","0.187547456340167"
"NMF_LOG_OTU_K4","PH_RANGE_K4","0.234672304439746"
"NMF_LOG_OTU_K4","MCQUITTY_CUTREE_K4","0.252969121140143"
"NMF_LOG_OTU_K4","KMEANS_PCA_ENV_K4","0.218090452261307"
"NMF_LOG_OTU_K4","KMEANS_DIST_K4","0.25682382133995"
"DIANA_CUTREE_K4","DIANA_CUTREE_K4","1"
"DIANA_CUTREE_K4","PH_RANGE_K4","0.365493757094211"
"DIANA_CUTREE_K4","MCQUITTY_CUTREE_K4","0.29469696969697"
"DIANA_CUTREE_K4","KMEANS_PCA_ENV_K4","0.255720053835801"
"DIANA_CUTREE_K4","KMEANS_DIST_K4","0.234814814814815"
"PH_RANGE_K4","PH_RANGE_K4","1"
"PH_RANGE_K4","MCQUITTY_CUTREE_K4","0.330294530154278"
"PH_RANGE_K4","KMEANS_PCA_ENV_K4","0.514749262536873"
"PH_RANGE_K4","KMEANS_DIST_K4","0.343229543808834"
"MCQUITTY_CUTREE_K4","MCQUITTY_CUTREE_K4","1"
"MCQUITTY_CUTREE_K4","KMEANS_PCA_ENV_K4","0.285037878787879"
"MCQUITTY_CUTREE_K4","KMEANS_DIST_K4","0.624123422159888"
"KMEANS_PCA_ENV_K4","KMEANS_PCA_ENV_K4","1"
"KMEANS_PCA_ENV_K4","KMEANS_DIST_K4","0.320281124497992"
"KMEANS_DIST_K4","KMEANS_DIST_K4","1"
